src,dst,weight
M007728,M000154,265.56
M009529,M005226,73.36
M003135,M000090,71.9
M009769,M002719,997.96
M009447,M001160,8284.34
M005036,M002460,156.53
M007580,M005118,232.13
M003511,M009055,296.99
M004600,M000960,930.73
M009840,M005375,1005.86
M006025,M008820,297.76
M008428,M001601,384.87
M001235,M006237,844.23
M006074,M009801,1552.14
M004693,M005011,2456.82
M005826,M003567,4961.17
M003120,M005622,198.89
M004893,M001181,349.34
M004150,M002342,20626.57
M003129,M004545,8150.53
M006213,M001787,6993.21
M004910,M004091,446.79
M003503,M003366,385.43
M006056,M001679,1121.04
M001830,M009200,27.38
M008932,M008357,372.32
M005940,M000553,145.74
M004775,M003493,11182.08
M004639,M003686,535.75
M003779,M000218,200.68
M006808,M009771,303.81
M001230,M008223,72.36
M007476,M004206,2187.69
M008823,M002857,327.46
M001045,M001888,2907.04
M006709,M002859,1668.3
M006876,M006550,8334.15
M008767,M008312,1248.0
M008758,M001390,1058.19
M005093,M005951,8389.44
M000982,M005678,17807.33
M000218,M003365,470.88
M006028,M007146,1174.17
M004465,M008956,17324.05
M005679,M006104,13074.55
M006212,M005782,259.09
M008966,M007843,112.07
M004643,M003034,1619.22
M002983,M005152,6706.77
M006427,M005040,1290.75
M003824,M000294,10141.43
M000949,M001833,1637.55
M004789,M006548,280.29
M003169,M000361,704.15
M005841,M004763,461.15
M000903,M000694,266.19
M005365,M005928,7285.56
M005700,M002453,9978.67
M000417,M002767,555.67
M001056,M006800,383.62
M003628,M001883,53.6
M009786,M001037,918.69
M003781,M002341,576.52
M002822,M002808,49.74
M004610,M008366,1107.69
M008650,M001270,12823.74
M001651,M004611,264.91
M000313,M001370,74236.72
M006966,M009972,896.2
M002687,M000185,2799.89
M009388,M006322,163.03
M008716,M002901,652.53
M003468,M009699,1358.63
M002362,M003035,263.21
M006051,M003941,1182.63
M000420,M000853,20537.97
M004879,M002983,2636.98
M009262,M009979,475.61
M000034,M005811,7639.02
M003198,M009494,10183.56
M001904,M009341,8595.85
M001652,M001680,304.28
M008151,M001307,5978.73
M002174,M005610,117886.11
M005711,M009098,8913.65
M003177,M007199,351.99
M009472,M006258,7119.41
M006708,M009034,443.5
M002290,M006110,3920.4
M004885,M004582,15521.36
M009615,M008019,898.36
M005430,M007381,7886.78
M007354,M009744,11599.71
M002893,M003160,1358.6
M007981,M004898,3799.96
M005581,M008329,302.14
M001286,M004042,6006.58
M006566,M006287,230.15
M004387,M005400,13993.15
M001672,M002715,3827.62
M005143,M007870,1394.83
M003252,M001060,631.63
M008109,M000385,252.84
M002226,M009079,2321.9
M002266,M002399,18335.17
M006288,M008947,6512.85
M008202,M002233,8385.62
M004099,M009672,2656.07
M000158,M007731,362.41
M006643,M004222,14535.69
M005393,M000947,158.87
M007943,M007848,368.16
M006758,M005582,2263.91
M009423,M005770,553.49
M009545,M009320,4701.56
M008283,M000278,7979.6
M000600,M009586,742.11
M007496,M008035,93.98
M008506,M005549,293.7
M004678,M004952,158.87
M006503,M007502,168.23
M005798,M000513,2480.92
M004677,M008059,2992.62
M005022,M001785,307.54
M008422,M002648,625.49
M007941,M000494,290.5
M006158,M004745,8895.59
M004090,M008455,658.56
M001824,M009332,5244.39
M006074,M007880,4196.26
M009678,M009458,2327.43
M002922,M008474,1664.68
M002754,M006417,1723.73
M008068,M005865,49.78
M004623,M002073,298.87
M000788,M005808,69.19
M007190,M003252,771.79
M003059,M007055,451.38
M006032,M003129,40.19
M000675,M004527,1414.36
M008926,M006283,50462.5
M002926,M006309,140.35
M009849,M001713,1228.85
M004811,M005406,1677.45
M000442,M007456,630.26
M009975,M000984,787.17
M001686,M007225,2458.4
M007812,M000761,1456.46
M000242,M003592,1392.97
M005420,M006071,914.68
M002568,M001087,7538.77
M007920,M009871,3164.65
M001053,M005109,2476.68
M009979,M002466,136.66
M008116,M008469,1105.81
M002433,M001862,300.49
M003776,M000675,2399.02
M000569,M004897,191.93
M002396,M006068,1111.8
M004856,M002599,2328.01
M007198,M006150,166.96
M006719,M001751,368.1
M007068,M002433,436.95
M005071,M006696,2340.29
M006591,M005218,392.47
M000259,M000110,1032.6
M000969,M007523,7166.67
M005711,M009895,578.36
M004538,M001000,59.51
M009431,M000044,2006.89
M005054,M005467,7876.7
M004632,M001673,11882.91
M008235,M001255,536.63
M007844,M002406,1811.65
M006373,M008917,3779.32
M001609,M008141,5000.93
M003911,M007348,1017.34
M008376,M005107,5225.22
M000240,M009296,4193.17
M007629,M000572,37.21
M003874,M005376,754.5
M003427,M002676,497.7
M006371,M009635,495.86
M001396,M001136,5735.74
M002269,M005095,679.09
M009278,M002714,5137.94
M004018,M002580,1707.64
M003151,M002725,7095.26
M002759,M002127,1555.53
M004378,M000163,917.88
M004387,M004789,115.33
M007909,M003598,5997.15
M009896,M007360,22188.07
M001645,M005192,134.93
M008761,M006361,803.16
M006072,M001069,253.84
M003227,M004150,681.91
M003005,M000134,913.25
M008157,M004224,4805.07
M000878,M009452,1973.52
M002940,M007544,2758.54
M004830,M002113,741.83
M005581,M008953,2636.65
M003258,M001872,563.52
M008875,M000753,84.86
M006686,M008769,4802.5
M004061,M005806,227.38
M000241,M002870,242.67
M009547,M007352,84.92
M008654,M002942,36758.67
M005956,M004335,2382.49
M003490,M001518,691.28
M007613,M009626,131.61
M008780,M008057,5643.74
M004107,M003863,931.25
M002770,M000036,940.32
M003227,M007630,1301.1
M008269,M000659,117.24
M000150,M009466,722.89
M005094,M007862,407.72
M009293,M009012,605.79
M006450,M002717,127.27
M008259,M002311,3271.61
M000916,M009533,135.72
M008786,M006126,76.25
M009622,M009882,1179.48
M009646,M000709,409.55
M008193,M004871,3372.06
M001480,M008602,674.44
M000350,M004153,474.94
M000039,M001393,284.02
M003287,M006139,11920.88
M008171,M006379,539.92
M005167,M004931,199.16
M008547,M002169,278.57
M007981,M005050,9852.67
M009313,M004714,838.06
M007293,M000788,867.05
M006360,M006162,470.98
M003254,M000171,45.33
M003354,M004643,1215.71
M006939,M007178,1591.03
M003131,M006303,632.05
M008693,M001697,741.34
M003814,M001825,590.7
M000299,M002837,120.64
M002817,M002699,10287.6
M006454,M000488,1161.48
M009279,M002587,2606.68
M004361,M006810,3981.98
M005399,M002765,5782.05
M001117,M006888,1752.5
M005646,M005081,1009.62
M007911,M007524,3075.36
M004304,M008022,1057.24
M004845,M006570,482.24
M001015,M005789,2546.69
M004461,M009406,344.08
M003329,M000706,5742.46
M002371,M000920,355.47
M004065,M003270,25743.02
M009262,M009457,463.68
M006787,M008587,2291.52
M007522,M001432,553.39
M000802,M004606,5522.71
M005847,M005353,23919.91
M004805,M001894,2859.93
M001830,M001552,2349.03
M002363,M002648,3802.77
M004296,M002001,1022.8
M003196,M003158,303.29
M009288,M006257,566.56
M008585,M008873,246.85
M003419,M003114,4639.38
M008029,M002846,265.99
M008843,M005853,7521.54
M009847,M009252,629.64
M005357,M007752,326.13
M005325,M004988,17078.58
M000708,M007356,9844.21
M006388,M003386,999.7
M008690,M001943,848.24
M008417,M009432,42496.85
M005980,M006457,2118.58
M007982,M008410,1385.5
M007191,M008926,2392.45
M006608,M002227,495.76
M004369,M001275,754.87
M003712,M007604,576.35
M006247,M004569,9167.9
M007379,M007269,969.09
M007415,M002177,452.84
M005649,M005508,112.38
M002702,M005078,2910.74
M004455,M006978,1656.89
M008576,M000205,1103.4
M003416,M002261,1887.81
M002602,M006487,22904.74
M001385,M009208,483.16
M002396,M009442,1027.52
M007382,M001180,1077.2
M006770,M004151,806.75
M008579,M005408,2628.87
M008527,M002843,1279.13
M005105,M009223,732.24
M006028,M006250,1249.63
M006981,M001456,3648.93
M007934,M004389,6184.77
M009097,M002830,992.94
M006461,M001382,13989.45
M000702,M001693,2352.92
M005180,M005770,3829.05
M002670,M004943,62067.62
M005884,M009090,74.43
M000862,M005125,4232.62
M008015,M008803,4857.08
M001457,M008477,2235.18
M008769,M003510,4972.49
M009573,M008553,592.85
M008331,M005095,1176.28
M000894,M000517,1085.82
M002571,M003471,2308.06
M008461,M006286,420.36
M006988,M000072,544.46
M005869,M002531,29750.38
M007433,M002644,8468.98
M001993,M005164,527.74
M009137,M002564,569.19
M003924,M005512,1094.09
M007704,M004607,615.91
M009309,M007389,813.65
M006402,M006107,233.91
M006881,M003245,4931.3
M007048,M001905,4331.81
M004402,M008407,11264.31
M005352,M006987,24425.66
M004929,M008352,920.26
M007212,M001305,3268.31
M001935,M003947,865.34
M004180,M008156,159.73
M008350,M003661,5025.6
M003605,M000610,3376.1
M005430,M008107,851.66
M009985,M001211,312.67
M002608,M008254,2500.94
M001878,M008663,2078.4
M008348,M006584,147.49
M008482,M007597,908.6
M001941,M001890,54625.03
M003439,M001854,1712.22
M008253,M001411,4146.88
M008862,M008485,3117.11
M004416,M000137,1273.97
M007636,M008829,3680.63
M002118,M009205,51.53
M002799,M004793,1011.49
M003524,M002112,6288.55
M000796,M001009,14.76
M008737,M000237,4605.4
M008238,M002435,3616.25
M001039,M006795,195.55
M004026,M006473,654.35
M001372,M009977,1955.03
M006136,M004323,1289.09
M008301,M005426,257.74
M005697,M002114,21750.93
M005252,M005375,472.7
M001769,M003066,3895.44
M009891,M004173,1610.48
M006095,M004241,1470.2
M002421,M002393,2408.96
M002825,M007603,4826.01
M000740,M008920,246.17
M007940,M006581,5274.62
M004591,M006483,4310.9
M005414,M005508,274.27
M000662,M007346,480.6
M005554,M009028,1572.13
M000038,M007488,2488.32
M001935,M009427,636.59
M008586,M008841,697.32
M006238,M006554,437.85
M006696,M001769,978.85
M007415,M007702,293.31
M002040,M003636,633.42
M002539,M009070,600.59
M007443,M004518,307.92
M007644,M000693,676.88
M004479,M008314,4114.18
M000158,M001111,60.92
M002137,M004165,7506.45
M008098,M007078,226.4
M000576,M007994,5170.52
M001370,M006172,6301.12
M004235,M007106,551.76
M009199,M002579,327.67
M003277,M008286,669.18
M007961,M002397,3015.8
M001076,M009061,157.99
M002676,M003000,80.68
M002505,M001368,8.96
M008839,M008907,522.68
M006871,M002532,1034.5
M007641,M001641,3741.31
M004127,M000469,6012.78
M000842,M001170,46961.57
M004104,M001120,47855.73
M008232,M006723,2026.63
M009839,M001155,379.63
M001700,M005968,3688.06
M009169,M005027,1260.1
M001297,M003624,1605.82
M007960,M004791,298.91
M007400,M006856,85.01
M008504,M001321,396.14
M006487,M001534,2309.2
M002380,M002347,7725.63
M003462,M005702,574.65
M001134,M001270,3418.28
M002588,M000563,4595.28
M007069,M004343,70.73
M007336,M004518,1770.34
M000374,M005105,4596.96
M008586,M001854,273.54
M004245,M004116,38.14
M009422,M001706,2652.87
M009870,M000105,7103.76
M008686,M005612,10353.95
M003151,M004720,2242.82
M004523,M001900,649.53
M007481,M009737,938.01
M001721,M007638,818.32
M005577,M001648,12211.33
M000021,M004552,8325.25
M007985,M004036,6214.52
M001442,M001522,565.25
M003872,M003233,827.51
M007733,M007612,637.78
M007740,M006836,1129.21
M004331,M009080,551.12
M009126,M005354,1634.49
M007919,M009271,323.92
M004359,M004252,1767.74
M000535,M005012,1075.24
M004620,M002661,3242.52
M000444,M002174,5466.57
M006577,M008370,52.93
M000746,M002221,1316.78
M002178,M009482,6649.25
M001367,M003501,1246.82
M001350,M000043,518.79
M003918,M004521,533.4
M007146,M003504,96.22
M001146,M009479,1954.3
M009258,M009343,932.18
M005231,M004268,136.57
M008833,M008785,253.7
M009047,M001043,11558.56
M004430,M002166,3103.29
M002266,M001933,3882.12
M007081,M009760,2813.79
M001579,M000467,69277.9
M008732,M009995,2103.27
M000240,M005963,2889.28
M002684,M006809,458.73
M004371,M004427,893.94
M004009,M008642,1846.53
M004043,M000565,930.08
M000705,M003189,4287.65
M005412,M004264,105.1
M003490,M000424,2747.2
M008949,M001537,479.78
M007427,M008427,1549.38
M003424,M006512,1153.39
M000207,M008017,923.79
M007787,M006417,26.92
M005186,M001750,24.69
M000481,M006053,2317.37
M000449,M006501,794.92
M006045,M000273,193.86
M002351,M007355,1913.14
M002835,M005007,9538.77
M004334,M008833,4865.1
M005853,M006271,2221.81
M000761,M003380,5154.45
M002300,M004226,12069.03
M008980,M009962,1781.87
M000507,M009733,4266.99
M006881,M007609,153.22
M001216,M004339,611.72
M004348,M004524,1132.01
M007396,M005300,1428.41
M001782,M004121,31.96
M007000,M003974,8057.33
M002648,M007228,753.78
M009601,M000086,1863.65
M009190,M002801,3023.19
M002497,M008945,521.65
M000529,M006851,130810.8
M008630,M004674,84.43
M002031,M006829,319.4
M009171,M001671,1612.16
M007748,M003114,4300.8
M000159,M003862,1701.83
M006511,M005670,228.15
M004268,M004269,5649.76
M005818,M004002,218.55
M004341,M003480,843.66
M002821,M000245,526.72
M006676,M000657,5102.04
M003865,M008238,810.1
M006118,M000602,5697.97
M006863,M003372,7083.41
M008932,M005182,10.3
M006595,M003442,441.86
M005612,M006354,347.65
M001421,M004401,6431.8
M000111,M008233,747.34
M003269,M002419,4830.94
M003114,M007126,1340.95
M009526,M001250,1168.84
M001774,M002106,2510.23
M002066,M003640,478.3
M000485,M004515,261.32
M007764,M000655,57.17
M001242,M004562,461.69
M000165,M007349,4149.54
M001661,M006648,1943.95
M007721,M003650,1660.95
M007511,M002571,3932.69
M006241,M001601,1938.84
M008899,M009993,1638.28
M005602,M004794,1914.39
M003138,M005076,1832.5
M002396,M000102,426.14
M008999,M006959,12696.98
M003266,M000677,598.6
M005173,M003047,847.16
M003340,M000738,19960.32
M006890,M001822,693.39
M004641,M005843,1476.97
M003060,M007416,215.93
M001336,M006747,1837.16
M007908,M009688,90.61
M000530,M009347,3809.77
M001924,M005256,146.85
M009694,M000282,73.84
M004203,M002605,6622.88
M008882,M009650,826.3
M009233,M004829,1211.74
M005204,M008365,16525.4
M007528,M007435,131.09
M004439,M000072,1997.39
M009196,M003123,46.04
M007527,M002916,840.24
M002843,M007626,352.53
M009807,M007164,929.92
M003746,M002029,851.85
M006019,M005945,2580.02
M005348,M009046,56338.96
M005060,M005351,516.38
M008995,M007765,684.31
M007678,M004725,6660.55
M005843,M002110,1002.46
M006594,M008123,9041.58
M007648,M006027,135.64
M006826,M008727,1991.77
M000345,M004991,35.24
M000668,M008686,43447.48
M005873,M004804,2413.81
M000913,M003534,1891.0
M008227,M008480,3293.48
M005732,M000377,818.0
M008940,M002176,861.02
M003404,M002812,30.29
M006778,M006548,7396.44
M001379,M000595,207.96
M003103,M004199,66.8
M007898,M006933,1062.92
M009614,M001935,496.91
M002942,M004977,93.39
M004371,M000147,44.13
M004147,M007605,2662.67
M004037,M000943,257.79
M003514,M003148,195.85
M008849,M003638,7711.3
M006869,M006586,594.71
M004515,M005393,472.28
M003887,M003016,2759.52
M001757,M003718,515.95
M004042,M006147,4446.32
M005238,M007570,84.33
M008108,M007082,3961.19
M009163,M006543,250.64
M003749,M007454,928.22
M001028,M002154,132.21
M000967,M009744,12.19
M000370,M004356,74224.92
M009544,M002689,3741.66
M004342,M002550,1329.23
M008529,M000834,59.91
M003751,M001079,5850.86
M008061,M007391,1050.58
M002348,M003562,5094.46
M004521,M006472,419.05
M008917,M001584,302.81
M005061,M000280,562.98
M007764,M000169,11283.81
M005481,M009075,1356.3
M008426,M000311,365.63
M007289,M002138,387.28
M001180,M005491,1876.13
M000636,M003809,4805.12
M001865,M005512,540.65
M009321,M005797,715.85
M006885,M005957,12265.15
M005626,M006625,7963.31
M006265,M007592,670.37
M007083,M006918,400.11
M004187,M003643,6135.59
M001541,M008994,2786.61
M007488,M008471,2519.06
M008562,M008831,1638.79
M008496,M002008,5561.7
M002356,M002231,1120.18
M004395,M004946,1081.84
M004865,M000714,95.99
M008721,M007036,194.53
M009054,M000865,1989.47
M003702,M000856,655.3
M007279,M007938,1440.6
M009805,M007691,2861.75
M003207,M000756,1486.76
M001005,M000490,604.54
M008410,M001459,264.05
M009599,M000969,4478.26
M009656,M005685,293.13
M008788,M009582,4644.0
M007115,M006959,2566.08
M006378,M004616,208.67
M000217,M003156,204.86
M007456,M005756,9890.43
M000279,M001546,63.89
M008392,M001024,1845.86
M009492,M004514,286.81
M003448,M001053,2930.66
M003998,M000032,10081.41
M003334,M006796,6233.06
M001584,M000270,4207.26
M006145,M005887,219.06
M009566,M001344,27982.72
M007970,M006653,681.78
M000401,M009347,338.6
M006444,M008051,783.89
M009979,M008785,651.32
M000809,M005585,1238.74
M004725,M009269,1060.65
M005605,M000751,85.46
M009703,M000485,80.78
M002445,M005827,3074.06
M008620,M000050,2349.72
M009081,M005805,5182.28
M004928,M000890,1494.82
M007977,M003512,18234.99
M007355,M001455,98.93
M003088,M002228,717.98
M004429,M005040,330.52
M005370,M007237,592.4
M001041,M000869,1182.35
M007382,M002216,17010.56
M002817,M009681,496.01
M006343,M006110,1952.49
M009499,M008395,2451.96
M005178,M006799,1335.71
M008508,M005061,1974.35
M002196,M009146,247.84
M002634,M009756,1230.37
M003258,M008795,289.29
M001670,M005033,46.56
M004454,M005334,1289.01
M007834,M007764,19446.87
M006903,M008922,471.84
M009080,M008298,48.77
M004430,M001965,12635.26
M005615,M002698,9759.71
M008167,M000873,2389.29
M006305,M007052,164.41
M009983,M004362,1353.66
M006234,M003616,3604.38
M002297,M002599,415.65
M009143,M009159,488.47
M000721,M008047,13639.53
M005767,M000833,32.91
M004356,M006521,1400.61
M000655,M001711,2463.4
M009287,M006589,1085.63
M006852,M004296,373.76
M000057,M002314,1307.36
M006421,M007461,13965.79
M008332,M007957,1322.97
M000082,M006311,1491.99
M000111,M002420,2492.59
M009078,M007627,925.18
M006458,M009777,90.36
M003177,M004549,540.79
M009638,M006381,1871.26
M002393,M002243,52.0
M003725,M003098,550.43
M008493,M004920,4020.14
M002387,M005055,11389.34
M009389,M008254,472.74
M006746,M009362,53.87
M004108,M001068,1368.58
M006137,M000459,1737.0
M004532,M000964,5847.99
M005657,M008399,3815.0
M003808,M006229,806.3
M008797,M007663,7719.46
M004037,M008000,783.82
M006004,M005452,9904.17
M001728,M004971,74.51
M008290,M003503,596.9
M005701,M004884,712.11
M002021,M009031,650.0
M007931,M003471,1284.16
M006449,M005207,1244.5
M007203,M004003,52.52
M003237,M006559,1372.48
M005250,M002766,3084.3
M006654,M009353,9977.68
M005446,M005585,2618.38
M003288,M004616,910.24
M006943,M005272,925.31
M000961,M000161,138.06
M008125,M007426,109.91
M006416,M008463,1259.68
M003728,M006001,3630.88
M005195,M000146,297.59
M002007,M009303,36.74
M004170,M006816,14.79
M002545,M000026,2158.54
M005107,M001628,3160.36
M000945,M007178,343.66
M009266,M003366,85.22
M009684,M007874,165.48
M007040,M008685,209.81
M006601,M006501,432.03
M000208,M006260,613.38
M002392,M002973,668.26
M000171,M001286,240.86
M004491,M006927,30836.31
M004418,M001689,20131.12
M008349,M006889,13683.9
M003668,M004372,171.84
M003480,M007469,15736.22
M009392,M006985,67.16
M006233,M007975,3588.31
M001740,M001689,7568.84
M004928,M001956,1297.29
M001379,M003868,5940.2
M004713,M000003,6838.07
M001934,M000035,10137.36
M009151,M007355,7717.68
M004046,M009635,535.57
M004691,M005906,337.18
M000542,M008473,3908.92
M003914,M002710,356.46
M003117,M002692,54.99
M006111,M002440,733.55
M003336,M003568,475.56
M008893,M006189,536.04
M007658,M009301,507.57
M009298,M007455,2398.64
M008411,M003276,395.55
M002737,M003058,220.58
M008072,M004703,545.94
M004416,M003928,2201.58
M008878,M003669,1734.89
M001237,M009328,453.25
M000350,M009829,471.93
M005015,M008503,167.45
M005782,M003473,7283.23
M001533,M008410,978.59
M002861,M009336,116.82
M000939,M001946,14511.25
M000007,M002286,2625.25
M002780,M003253,1956.39
M003251,M000079,209.05
M003396,M003649,1797.98
M007193,M006392,1075.23
M006322,M009514,11890.63
M005642,M002923,5211.95
M002053,M004727,6756.03
M007319,M005852,1535.69
M003741,M008259,4903.56
M009460,M007317,145.77
M001672,M002936,19610.26
M002596,M005962,1798.92
M004837,M009309,15549.62
M001391,M009362,455.93
M001651,M001592,141.8
M004309,M006494,10074.11
M004995,M006099,4484.47
M009146,M000232,3013.99
M004778,M006942,131.63
M003836,M005753,479.77
M002804,M008217,600.86
M006483,M008954,2018.08
M002965,M006549,684.4
M006721,M005314,395.27
M008510,M003753,546.99
M005584,M009151,2197.13
M008442,M009116,3160.43
M007256,M008129,2574.56
M008137,M009033,11045.33
M001692,M009131,2561.17
M004527,M009473,723.18
M002355,M007846,1248.18
M000268,M007483,24267.92
M000670,M008678,26.77
M006806,M000691,8182.63
M007451,M009674,4422.89
M003627,M005787,1160.66
M004061,M002726,5159.02
M002246,M007763,7705.35
M004977,M003357,2500.18
M004958,M009751,717.75
M003508,M006608,2685.91
M004424,M001397,17003.13
M004492,M000283,3607.76
M008300,M002757,4485.16
M006815,M003291,978.98
M008583,M004433,527.9
M003291,M009725,12146.85
M006386,M009206,330.19
M005837,M000243,269.95
M008498,M001365,600.59
M009148,M009317,17.43
M008260,M006751,526.47
M008707,M005465,5251.99
M008533,M004324,628.24
M004139,M007697,127.9
M000678,M007986,17.4
M006459,M004426,2096.16
M000029,M003450,12750.11
M001933,M004395,411.72
M002115,M001289,3582.5
M007326,M007575,794.56
M003109,M007997,751.65
M003508,M006183,3524.51
M001072,M004847,7723.31
M009915,M005248,4903.08
M001613,M005011,645.12
M007090,M007043,492.04
M009624,M006044,775.04
M006326,M007697,90.39
M006854,M000209,502.49
M000219,M009584,16094.94
M003076,M001110,3382.71
M005599,M000265,5693.61
M001297,M006007,31362.47
M005798,M003728,187.69
M008712,M004513,23988.63
M007676,M005626,399.63
M001475,M008564,4309.38
M003394,M000313,168.37
M005969,M004562,1241.89
M009151,M002124,1428.11
M001246,M002807,3925.94
M008826,M005249,1807.99
M006728,M003141,463.84
M009541,M005350,9020.13
M002400,M000564,175.19
M002219,M002958,5107.34
M000347,M007529,4891.99
M004027,M000138,5186.83
M007721,M004069,1892.27
M002585,M003168,348.55
M002895,M001509,990.7
M005183,M000758,690.51
M008883,M009039,2307.89
M003567,M006868,3618.37
M006019,M003145,679.43
M005080,M007650,196.11
M002534,M007207,429.3
M005165,M005704,98.02
M003264,M002106,7123.97
M008674,M001461,646.53
M003660,M002593,186.19
M003574,M003454,24.84
M004272,M003495,25299.03
M008243,M007570,20693.53
M003131,M006736,949.09
M004323,M001432,7252.25
M001491,M003486,2167.08
M003564,M001330,458.14
M000719,M003770,711.94
M004839,M003266,514.11
M002353,M003275,3174.25
M006454,M003206,2014.99
M004675,M008251,665.1
M006812,M008487,978.46
M008682,M008618,836.17
M008330,M001301,1019.1
M007129,M000684,615.63
M009545,M004331,494.55
M005615,M009756,10251.46
M001369,M002792,561.59
M004869,M001675,878.45
M005645,M008894,3447.26
M001003,M005962,7517.84
M007794,M006165,507.5
M005839,M004254,741.05
M008441,M001034,47418.96
M009926,M007032,709.62
M009813,M007175,2392.48
M009087,M006671,136.87
M000115,M006407,4168.25
M004392,M008570,12.57
M002900,M008396,507.97
M005091,M007101,4760.38
M003963,M001618,1257.08
M003833,M009072,1275.83
M005563,M001288,1797.73
M004332,M009577,3875.59
M004815,M003471,10056.78
M006522,M000115,6335.85
M001365,M005897,2197.71
M008089,M002145,691.36
M000370,M006906,1428.07
M005519,M009791,6251.43
M006693,M007940,410.74
M009417,M000190,486.41
M001562,M009614,568.6
M007316,M007848,2412.75
M008060,M001639,1159.2
M005883,M006316,7506.57
M004407,M005660,333.97
M007655,M006512,12054.9
M008836,M009065,1483.68
M001826,M007386,410.91
M004761,M001762,12023.4
M009776,M002520,212.18
M005739,M003512,541.0
M009737,M005209,3388.4
M002050,M004153,5119.27
M004611,M007440,5696.76
M004309,M009993,1442.38
M001131,M008643,21953.63
M006776,M009992,757.19
M000288,M001838,605.7
M009938,M004654,188.7
M009094,M009668,425.01
M002803,M002243,397.73
M005365,M002535,4000.46
M007986,M002044,695.35
M008353,M000792,693.42
M004153,M005322,1747.33
M008119,M008150,4909.47
M005201,M009742,1623.51
M002531,M004809,1283.62
M005050,M005787,12488.68
M001722,M003689,7446.77
M007484,M006622,216.75
M001288,M001133,3348.92
M002230,M004753,1052.69
M008201,M009304,1016.45
M002966,M009196,125.63
M002421,M001387,907.11
M006741,M002521,307.26
M005080,M009781,53.35
M000834,M006291,4154.74
M009499,M003931,13987.07
M002229,M000486,175.93
M004770,M005155,4664.52
M003527,M009762,1162.5
M008738,M007503,284.87
M001726,M000894,1558.26
M006531,M002092,680.09
M005276,M004546,911.01
M001215,M003531,107.43
M001500,M002682,4041.66
M005580,M001968,2588.63
M009977,M000627,715.96
M008672,M004120,830.13
M005757,M004876,3940.26
M007250,M006537,1253.51
M000521,M007087,1090.08
M009088,M001253,1092.6
M008917,M006719,7914.4
M005804,M001829,1293.51
M008589,M004603,2652.83
M003304,M007133,981.75
M001779,M005919,8808.48
M006146,M007882,2026.92
M006125,M008010,928.84
M002069,M003986,579.93
M006693,M007848,606.12
M005605,M006637,255.49
M001574,M004283,76.43
M001810,M009507,19889.98
M003482,M008939,11855.41
M002815,M003158,8105.21
M009080,M007874,2389.35
M008178,M001454,122.18
M005750,M001493,484.44
M008664,M001243,66.43
M002685,M003472,2664.76
M006726,M001289,3323.82
M003452,M002032,643.45
M001523,M005195,3570.12
M008325,M001480,893.72
M007275,M001249,18943.22
M005598,M001541,299.58
M006292,M004817,670.28
M004493,M001979,7461.59
M003750,M007771,957.06
M008941,M001934,491.32
M003128,M002207,3522.04
M004990,M000411,321.16
M005247,M009877,6976.03
M006651,M008669,7040.72
M000665,M002268,705.39
M001497,M001527,19262.77
M006398,M004024,3310.26
M003654,M006740,342.63
M002350,M006528,25.42
M000689,M009238,2941.58
M005090,M004800,135.58
M009430,M004757,21.95
M000856,M006750,4152.65
M000835,M005833,389.39
M005641,M009177,1157.88
M009526,M005227,567.69
M009472,M006510,2088.23
M000415,M003466,54667.65
M006003,M009365,620.17
M007186,M006569,20874.69
M000056,M009306,14.16
M006408,M004966,286.0
M002757,M006920,634.52
M009025,M007985,17795.83
M003892,M001308,679.88
M002171,M004888,641.46
M006228,M003703,467.55
M006948,M000767,2558.79
M009439,M006257,7671.66
M008960,M004677,1235.03
M006084,M008298,597.58
M000852,M009804,1677.1
M004226,M007366,250.09
M008758,M002032,2285.42
M001864,M000860,12776.71
M003720,M005589,217.82
M008175,M001790,143.47
M004897,M006393,6364.81
M007890,M009394,452.22
M008331,M003470,432.4
M001743,M000439,6162.21
M005274,M000256,2219.65
M006303,M003405,751.74
M004482,M003657,282.11
M008117,M005148,7592.85
M003711,M005496,3481.05
M001879,M007158,1902.5
M001007,M008482,561.04
M007806,M006872,62729.09
M002381,M006643,3069.77
M008568,M007462,5435.02
M006290,M000300,988.12
M005386,M005060,323.75
M006389,M004130,421.24
M001698,M003318,1602.73
M004515,M008258,11531.26
M009667,M002986,868.58
M000771,M006048,1261.32
M008036,M002173,8766.97
M000866,M005621,24788.37
M002811,M001818,2151.02
M007709,M006252,1058.14
M004020,M005475,744.65
M002562,M003451,246.72
M002093,M003381,960.06
M004650,M007446,656.27
M002008,M003011,384.58
M002780,M000827,696.28
M005709,M008911,610.76
M008870,M008517,3073.01
M006474,M001726,300.15
M007029,M005001,277.95
M002215,M002741,139.59
M000951,M000787,892.33
M004206,M003601,693.22
M003643,M007949,4613.97
M002683,M007877,2132.44
M006915,M008567,61.51
M004988,M000894,10441.05
M002631,M003201,7177.89
M002713,M002952,506.12
M003921,M004206,783.61
M006444,M001744,567.05
M001769,M003602,216.11
M005588,M003751,5729.54
M001981,M004293,52006.05
M000531,M008496,3044.8
M000589,M007359,7746.05
M000499,M001277,3593.93
M006462,M001559,72788.0
M005639,M006284,434.83
M004289,M006005,3499.57
M003522,M009801,996.55
M005378,M008479,466.41
M007499,M000477,2991.69
M006292,M007310,2813.71
M004029,M006452,848.06
M007761,M004285,99.2
